start_time;end_time;category;description;confidence;ID;filename
0.22;0.3;8;Scratching or touching facial parts (nose);0.75;1;0496.json
5.36;5.82;29;Pressing lips;0.8;2;0496.json
23.11;23.26;8;Scratching or touching facial parts (side of mouth);0.7;3;0496.json
33.8;33.92;20;Moving torso;0.6;4;0496.json
41.78;41.96;8;Scratching or touching facial parts (nose);0.75;5;0496.json
53.2;53.75;29;Pressing lips;0.8;6;0496.json
55.89;55.98;8;Scratching or touching facial parts (lip);0.7;7;0496.json
58.24;58.38;20;Moving torso;0.6;8;0496.json
112.57;112.68;8;Scratching or touching facial parts (side of mouth);0.7;9;0496.json
113.74;113.95;20;Moving torso;0.6;10;0496.json
150.86;151.18;14;Buckle button / pull shirt collar / adjust tie (Pull hoodie collar);0.75;11;0496.json
0.31;0.31;4;Touching or scratching head;0.8;12;0497.json
0.32;0.32;4;Touching or scratching head;0.75;13;0497.json
0.33;0.34;4;Touching or scratching head;0.7;14;0497.json
0.35;0.35;4;Touching or scratching head;0.7;15;0497.json
0.37;0.38;8;Scratching or touching facial parts;0.7;16;0497.json
0.51;0.51;8;Scratching or touching facial parts;0.8;17;0497.json
0.54;0.57;8;Scratching or touching facial parts;0.8;18;0497.json
1.01;1.02;11;Touching jaw;0.6;19;0497.json
1.5;1.5;13;Playing or adjusting hair;0.8;20;0497.json
1.51;1.54;8;Scratching or touching facial parts;0.6;21;0497.json
1.55;1.55;4;Touching or scratching head;0.75;22;0497.json
2.05;2.08;26;Playing with other objects;0.7;23;0497.json
2.47;2.5;8;Scratching or touching facial parts;0.8;24;0497.json
3.11;3.11;11;Touching jaw;0.7;25;0497.json
3.15;3.16;19;Put arms behind body;0.6;26;0497.json
4.57;4.58;4;Touching or scratching head;0.75;27;0497.json
5.16;5.19;19;Put arms behind body;0.8;28;0497.json
6.43;6.43;19;Put arms behind body;0.65;29;0497.json
0.03;0.34;23;Rubbing or holding hands;0.95;30;0498.json
0.56;0.83;23;Rubbing or holding hands;0.95;31;0498.json
4.62;4.77;23;Rubbing or holding hands;0.95;32;0498.json
9.78;10.03;23;Rubbing or holding hands;0.95;33;0498.json
21.28;21.38;23;Rubbing or holding hands;0.95;34;0498.json
24.97;25.15;23;Rubbing or holding hands;0.95;35;0498.json
33.47;33.79;8;Scratching or touching facial parts;0.7;36;0498.json
34.49;35.3;23;Rubbing or holding hands;0.95;37;0498.json
51.85;52;8;Scratching or touching facial parts;0.7;38;0498.json
53.73;53.94;23;Rubbing or holding hands;0.95;39;0498.json
57.95;58.09;8;Scratching or touching facial parts;0.7;40;0498.json
58.58;58.86;23;Rubbing or holding hands;0.95;41;0498.json
102.11;102.54;23;Rubbing or holding hands;0.95;42;0498.json
112.58;113.53;23;Rubbing or holding hands;0.95;43;0498.json
114.97;115.33;13;Playing or adjusting hair;0.75;44;0498.json
0;0.03;8;Touching facial parts (e.g., nose or around the mouth) - touching upper lip area;0.9;45;0499.json
0.07;0.1;8;Touching facial parts (e.g., nose or around the mouth) - touching chin;0.8;46;0499.json
0.25;0.26;8;Touching facial parts (e.g., nose or around the mouth) - scratching chin;0.7;47;0499.json
1.41;1.47;8;Touching facial parts (e.g., nose or around the mouth) - touching mouth and nose;0.85;48;0499.json
7.94;8.01;7;Rubbing eyes (touching under eye area);0.85;49;0499.json
8.03;8.07;12;Touching or scratching neck (scratch);0.75;50;0499.json
9.92;9.95;11;Touching jaw;0.8;51;0499.json
10.13;10.32;12;Touching or scratching neck (back neck);0.9;52;0499.json
39.04;39.18;14;Buckle button/pull shirt collar;0.75;53;0499.json
45.06;45.23;14;Buckle button/pull shirt collar/shirt adjustment;0.8;54;0499.json
141.5;141.59;8;Touching facial parts - nose;0.85;55;0499.json
141.97;142.13;8;Touching facial parts (e.g., nose or around the mouth) - touching upper lip area;0.8;56;0499.json
145.08;145.45;14;Buckle button/pull shirt collar - touching front of collar;0.8;57;0499.json
213.92;214.12;8;Touching facial parts - nose;0.85;58;0499.json
310.48;310.57;8;Touching facial parts - nose;0.85;59;0499.json
366.23;366.49;8;Touching facial parts - around the mouth;0.85;60;0499.json
388.89;389.16;12;Touching or scratching neck (front neck);0.9;61;0499.json
0.1;0.7;29;Pressing lips;0.75;62;0500.json
1;1.3;23;Rubbing or holding hands;0.7;63;0500.json
2.3;3.1;23;Rubbing or holding hands;0.7;64;0500.json
4.3;4.8;8;Scratching or touching facial parts (mouth);0.6;65;0500.json
4.4;5.1;29;Pressing lips;0.75;66;0500.json
5.1;5.4;23;Rubbing or holding hands;0.7;67;0500.json
8.5;9.1;8;Scratching or touching facial parts (mouth);0.6;68;0500.json
9.5;9.8;23;Rubbing or holding hands;0.7;69;0500.json
