"Var1","Var2","Var3","Var4","Var5","Var6","Var7","Var8","Var9","Var10"
90,710,1,0.463,0.011,0.151,0.027,0.011,1,0
90,710,1,0.463,0.011,0.151,0.027,0.011,1,0
90,710,1,0.463,0.011,0.151,0.027,0.011,1,0
90,710,1,0.463,0.011,0.151,0.027,0.011,1,0
38,580,1,0.247,0.013,0.208,0.219,0.01,0,1
38,580,1,0.247,0.013,0.208,0.219,0.01,0,1
38,580,1,0.247,0.013,0.208,0.219,0.01,0,1
38,580,1,0.247,0.013,0.208,0.219,0.01,0,1
65,655,0,0.428,0.011,0.15,0.172,0.008,0,1
90,620,1,0.337,0.008,1.503,0.226,0.016,0,0
90,620,1,0.337,0.008,1.503,0.226,0.016,0,0
90,620,1,0.337,0.008,1.503,0.226,0.016,0,0
90,620,1,0.337,0.008,1.503,0.226,0.016,0,0
75,605,1,0.33,0.01,1.531,0.233,0.017,0,0
75,605,1,0.33,0.01,1.531,0.233,0.017,0,0
75,605,1,0.33,0.01,1.531,0.233,0.017,0,0
75,605,1,0.33,0.01,1.531,0.233,0.017,0,0
90,630,0,0.242,0.01,0.134,0.219,0.012,0,1
90,630,0,0.242,0.01,0.134,0.219,0.012,0,1
90,630,0,0.242,0.01,0.134,0.219,0.012,0,1
90,630,0,0.242,0.01,0.134,0.219,0.012,0,1
90,630,0,0.255,0.01,0.194,0.22,0.012,0,1
90,630,0,0.255,0.01,0.194,0.22,0.012,0,1
90,630,0,0.255,0.01,0.194,0.22,0.012,0,1
90,630,0,0.255,0.01,0.194,0.22,0.012,0,1
90,630,0,0.255,0.01,0.194,0.22,0.012,0,1
90,630,0,0.255,0.01,0.194,0.22,0.012,0,1
90,630,0,0.249,0.012,0.209,0.219,0.01,0,1
90,630,0,0.249,0.012,0.209,0.219,0.01,0,1
90,630,0,0.249,0.012,0.209,0.219,0.01,0,1
90,630,0,0.249,0.012,0.209,0.219,0.01,0,1
150,670,0,0.437,0.016,0.121,0.172,0.026,0,1
65,655,0,0.424,0.025,0.165,0.172,0.01,0,1
50,650,0,0.412,0.012,0.108,0.17,0.012,0,1
50,650,0,0.412,0.012,0.108,0.17,0.012,0,1
50,650,0,0.412,0.012,0.108,0.17,0.012,0,1
50,650,0,0.412,0.012,0.108,0.17,0.012,0,1
50,650,0,0.417,0.011,0.145,0.169,0.01,0,1
50,650,0,0.417,0.011,0.145,0.169,0.01,0,1
50,650,0,0.417,0.011,0.145,0.169,0.01,0,1
50,650,0,0.417,0.011,0.145,0.169,0.01,0,1
60,650,0,0.26,0.008,0.138,0.215,0.009,0,1
60,650,0,0.26,0.008,0.138,0.215,0.009,0,1
60,650,0,0.26,0.008,0.138,0.215,0.009,0,1
60,650,0,0.26,0.008,0.138,0.215,0.009,0,1
70,645,0,0.255,0.01,0.194,0.22,0.012,0,1
70,645,0,0.255,0.01,0.194,0.22,0.012,0,1
70,645,0,0.255,0.01,0.194,0.22,0.012,0,1
70,645,0,0.255,0.01,0.194,0.22,0.012,0,1
60,645,0,0.429,0.014,0.253,0.164,0.007,0,1
33,640,1,0.419,0.011,0.116,0.181,0.01,0,1
33,640,1,0.419,0.011,0.116,0.181,0.01,0,1
33,640,1,0.419,0.011,0.116,0.181,0.01,0,1
33,640,1,0.419,0.011,0.116,0.181,0.01,0,1
70,645,0,0.406,0.014,0.185,0.166,0.012,0,1
90,625,0,0.241,0.016,0.221,0.22,0.013,0,1
90,625,0,0.241,0.016,0.221,0.22,0.013,0,1
90,625,0,0.241,0.016,0.221,0.22,0.013,0,1
90,625,0,0.241,0.016,0.221,0.22,0.013,0,1
45,590,1,0.254,0.018,0.231,0.218,0.009,0,1
45,590,1,0.254,0.018,0.231,0.218,0.009,0,1
45,590,1,0.254,0.018,0.231,0.218,0.009,0,1
45,590,1,0.254,0.018,0.231,0.218,0.009,0,1
95,640,0,0.409,0.015,0.177,0.172,0.01,0,1
160,665,0,0.429,0.008,0.123,0.178,0.025,0,1
160,665,0,0.429,0.008,0.123,0.178,0.025,0,1
160,665,0,0.429,0.008,0.123,0.178,0.025,0,1
160,665,0,0.429,0.008,0.123,0.178,0.025,0,1
95,645,0,0.25,0.022,0.138,0.218,0.009,0,1
50,650,0,0.422,0.013,0.177,0.172,0.01,0,1
105,640,1,0.414,0.012,0.177,0.224,0.041,0,1
40,670,1,0.482,0.011,0.147,0.021,0.012,1,0
40,670,1,0.482,0.011,0.147,0.021,0.012,1,0
40,670,1,0.482,0.011,0.147,0.021,0.012,1,0
40,670,1,0.482,0.011,0.147,0.021,0.012,1,0
60,700,1,0.5,0.009,0.168,0.028,0.012,1,0
60,700,1,0.5,0.009,0.168,0.028,0.012,1,0
60,700,1,0.5,0.009,0.168,0.028,0.012,1,0
60,700,1,0.5,0.009,0.168,0.028,0.012,1,0
26,575,1,0.269,0.012,0.082,0.218,0.012,0,1
26,575,1,0.269,0.012,0.082,0.218,0.012,0,1
30,575,1,0.264,0.007,0.299,0.215,0.013,0,1
30,575,1,0.264,0.007,0.299,0.215,0.013,0,1
30,575,1,0.264,0.007,0.299,0.215,0.013,0,1
30,575,1,0.264,0.007,0.299,0.215,0.013,0,1
32,585,1,0.254,0.018,0.231,0.218,0.009,0,1
32,585,1,0.254,0.018,0.231,0.218,0.009,0,1
45,590,1,0.26,0.012,0.239,0.216,0.012,0,1
45,590,1,0.26,0.012,0.239,0.216,0.012,0,1
45,590,1,0.26,0.012,0.239,0.216,0.012,0,1
45,590,1,0.26,0.012,0.239,0.216,0.012,0,1
50,610,1,0.255,0.01,0.194,0.22,0.012,0,1
50,610,1,0.255,0.01,0.194,0.22,0.012,0,1
50,610,1,0.255,0.01,0.194,0.22,0.012,0,1
50,610,1,0.255,0.01,0.194,0.22,0.012,0,1
50,610,1,0.26,0.014,0.168,0.21,0.011,0,1
50,610,1,0.26,0.014,0.168,0.21,0.011,0,1
50,610,1,0.26,0.014,0.168,0.21,0.011,0,1
50,610,1,0.26,0.014,0.168,0.21,0.011,0,1
50,610,1,0.254,0.008,0.11,0.218,0.013,0,1
50,610,1,0.254,0.008,0.11,0.218,0.013,0,1
50,610,1,0.254,0.008,0.11,0.218,0.013,0,1
50,610,1,0.254,0.008,0.11,0.218,0.013,0,1
65,615,0,0.248,0.016,0.217,0.216,0.018,0,1
65,615,0,0.248,0.016,0.217,0.216,0.018,0,1
65,630,0,0.242,0.01,0.134,0.219,0.012,0,1
65,630,0,0.242,0.01,0.134,0.219,0.012,0,1
65,630,0,0.242,0.01,0.134,0.219,0.012,0,1
65,630,0,0.242,0.01,0.134,0.219,0.012,0,1
75,625,0,0.242,0.01,0.134,0.219,0.012,0,1
75,625,0,0.242,0.01,0.134,0.219,0.012,0,1
75,625,0,0.242,0.01,0.134,0.219,0.012,0,1
75,625,0,0.242,0.01,0.134,0.219,0.012,0,1
85,625,0,0.256,0.011,0.203,0.218,0.008,0,1
85,625,0,0.256,0.011,0.203,0.218,0.008,0,1
85,625,0,0.256,0.011,0.203,0.218,0.008,0,1
85,625,0,0.256,0.011,0.203,0.218,0.008,0,1
100,645,0,0.25,0.022,0.138,0.218,0.009,0,1
110,685,0,0.25,0.022,0.138,0.218,0.009,0,1
130,690,0,0.255,0.008,0.296,0.221,0.008,0,1
136,690,0,0.252,0.014,0.152,0.224,0.009,0,1
140,680,0,0.258,0.009,0.233,0.219,0.008,0,1
35,580,1,0.422,0.013,0.177,0.172,0.01,0,1
35,580,1,0.422,0.013,0.177,0.172,0.01,0,1
35,580,1,0.422,0.013,0.177,0.172,0.01,0,1
35,580,1,0.422,0.013,0.177,0.172,0.01,0,1
35,580,1,0.421,0.016,0.135,0.167,0.008,0,1
35,580,1,0.421,0.016,0.135,0.167,0.008,0,1
35,580,1,0.421,0.016,0.135,0.167,0.008,0,1
35,580,1,0.421,0.016,0.135,0.167,0.008,0,1
35,580,1,0.418,0.017,0.168,0.167,0.011,0,1
35,580,1,0.418,0.017,0.168,0.167,0.011,0,1
35,580,1,0.418,0.017,0.168,0.167,0.011,0,1
35,580,1,0.418,0.017,0.168,0.167,0.011,0,1
35,580,1,0.415,0.013,0.139,0.169,0.009,0,1
35,580,1,0.415,0.013,0.139,0.169,0.009,0,1
35,580,1,0.415,0.013,0.139,0.169,0.009,0,1
35,580,1,0.415,0.013,0.139,0.169,0.009,0,1
40,585,1,0.414,0.016,0.175,0.171,0.01,0,1
40,585,1,0.414,0.016,0.175,0.171,0.01,0,1
40,585,1,0.414,0.016,0.175,0.171,0.01,0,1
40,585,1,0.414,0.016,0.175,0.171,0.01,0,1
45,635,1,0.419,0.013,0.152,0.168,0.006,0,1
50,650,0,0.412,0.019,0.157,0.167,0.014,0,1
50,650,0,0.412,0.012,0.108,0.17,0.012,0,1
55,645,0,0.43,0.015,0.12,0.167,0.01,0,1
55,645,0,0.41,0.015,0.173,0.172,0.01,0,1
60,645,0,0.411,0.015,0.151,0.162,0.008,0,1
60,645,0,0.412,0.019,0.157,0.167,0.014,0,1
60,645,0,0.425,0.016,0.162,0.162,0.008,0,1
65,650,0,0.412,0.012,0.153,0.165,0.008,0,1
65,650,0,0.428,0.015,0.134,0.169,0.009,0,1
75,635,0,0.421,0.016,0.135,0.167,0.008,0,1
80,650,0,0.404,0.019,0.175,0.167,0.014,0,1
80,650,0,0.421,0.016,0.135,0.167,0.008,0,1
80,650,0,0.41,0.015,0.173,0.172,0.01,0,1
80,650,0,0.412,0.014,0.119,0.17,0.011,0,1
95,645,0,0.413,0.016,0.127,0.169,0.012,0,1
100,640,0,0.413,0.016,0.127,0.169,0.012,0,1
25,560,1,0.329,0.01,1.519,0.228,0.017,0,0
25,560,1,0.329,0.01,1.519,0.228,0.017,0,0
25,560,1,0.329,0.01,1.519,0.228,0.017,0,0
25,560,1,0.329,0.01,1.519,0.228,0.017,0,0
28,570,1,0.333,0.009,1.517,0.231,0.018,0,0
28,570,1,0.333,0.009,1.517,0.231,0.018,0,0
28,570,1,0.333,0.009,1.517,0.231,0.018,0,0
28,570,1,0.333,0.009,1.517,0.231,0.018,0,0
28,570,1,0.326,0.009,1.52,0.226,0.016,0,0
28,570,1,0.326,0.009,1.52,0.226,0.016,0,0
28,570,1,0.326,0.009,1.52,0.226,0.016,0,0
28,570,1,0.326,0.009,1.52,0.226,0.016,0,0
45,605,1,0.333,0.009,1.517,0.231,0.018,0,0
45,605,1,0.333,0.009,1.517,0.231,0.018,0,0
45,605,1,0.333,0.009,1.517,0.231,0.018,0,0
45,605,1,0.333,0.009,1.517,0.231,0.018,0,0
120,680,0,0.423,0.008,0.189,0.159,0.009,0,1
120,680,0,0.41,0.014,0.139,0.165,0.014,0,1
110,680,0,0.412,0.018,0.156,0.164,0.011,0,1
160,675,0,0.405,0.012,0.252,0.168,0.011,0,1
160,675,0,0.409,0.012,0.211,0.167,0.013,0,1
170,690,0,0.441,0.015,0.146,0.168,0.012,0,1
180,695,0,0.441,0.015,0.146,0.168,0.012,0,1
30,640,1,0.482,0.011,0.147,0.021,0.012,1,0
30,640,1,0.482,0.011,0.147,0.021,0.012,1,0
30,640,1,0.482,0.011,0.147,0.021,0.012,1,0
30,640,1,0.482,0.011,0.147,0.021,0.012,1,0
80,640,0,0.256,0.011,0.203,0.218,0.008,0,1
80,640,0,0.256,0.011,0.203,0.218,0.008,0,1
80,640,0,0.256,0.011,0.203,0.218,0.008,0,1
80,640,0,0.256,0.011,0.203,0.218,0.008,0,1
145,695,0,0.258,0.009,0.233,0.219,0.008,0,1
145,695,0,0.258,0.009,0.233,0.219,0.008,0,1
145,695,0,0.258,0.009,0.233,0.219,0.008,0,1
145,695,0,0.258,0.009,0.233,0.219,0.008,0,1
136,655,1,0.404,0.019,1.339,0.216,0.011,0,0
136,655,1,0.404,0.019,1.339,0.216,0.011,0,0
136,655,1,0.424,0.007,1.313,0.219,0.01,0,0
