time (s);cloudiness
10;cloudy
20;cloudy
30;cloudy
40;cloudy
50;cloudy
60;cloudy
70;cloudy
80;cloudy
90;cloudy
100;cloudy
110;cloudy
120;cloudy
130;cloudy
140;cloudy
150;cloudy
160;cloudy
170;cloudy
180;cloudy
190;cloudy
200;cloudy
210;cloudy
220;cloudy
230;cloudy
240;cloudy
250;cloudy
260;cloudy
270;cloudy
280;cloudy
290;cloudy
300;cloudy
310;cloudy
320;cloudy
330;cloudy
340;cloudy
350;cloudy
360;cloudy
370;cloudy
380;cloudy
390;cloudy
400;cloudy
410;cloudy
420;cloudy
430;cloudy
440;cloudy
450;cloudy
460;cloudy
470;cloudy
480;cloudy
490;cloudy
500;cloudy
510;cloudy
520;cloudy
530;cloudy
540;cloudy
550;cloudy
560;cloudy
570;cloudy
580;cloudy
590;cloudy
600;cloudy
610;cloudy
620;cloudy
630;cloudy
640;cloudy
650;cloudy
660;cloudy
670;cloudy
680;cloudy
690;cloudy
700;cloudy
710;cloudy
720;cloudy
730;cloudy
740;cloudy
750;cloudy
760;cloudy
770;cloudy
780;cloudy
790;cloudy
800;cloudy
810;cloudy
820;cloudy
830;cloudy
840;cloudy
850;cloudy
860;cloudy
870;cloudy
880;cloudy
890;cloudy
900;cloudy
910;cloudy
920;cloudy
930;cloudy
940;cloudy
950;cloudy
960;cloudy
970;cloudy
980;cloudy
990;cloudy
1000;cloudy
1010;cloudy
1020;cloudy
1030;cloudy
1040;cloudy
1050;cloudy
1060;cloudy
1070;cloudy
1080;cloudy
1090;cloudy
1100;cloudy
1110;cloudy
1120;cloudy
1130;cloudy
1140;cloudy
1150;cloudy
1160;cloudy
1170;cloudy
1180;cloudy
1190;cloudy
1200;cloudy
1210;cloudy
1220;cloudy
1230;cloudy
1240;cloudy
1250;cloudy
1260;cloudy
1270;cloudy
1280;cloudy
1290;cloudy
1300;cloudy
1310;cloudy
1320;cloudy
1330;cloudy
1340;cloudy
1350;cloudy
1360;cloudy
1370;cloudy
1380;cloudy
1390;cloudy
1400;cloudy
1410;cloudy
1420;cloudy
1430;cloudy
1440;cloudy
1450;cloudy
1460;cloudy
1470;cloudy
1480;cloudy
1490;cloudy
1500;cloudy
1510;cloudy
1520;cloudy
1530;cloudy
1540;cloudy
1550;cloudy
1560;cloudy
1570;cloudy
1580;cloudy
1590;cloudy
1600;cloudy
1610;cloudy
1620;cloudy
1630;cloudy
1640;cloudy
1650;cloudy
1660;cloudy
1670;cloudy
1680;cloudy
1690;cloudy
1700;cloudy
1710;cloudy
1720;cloudy
1730;cloudy
1740;cloudy
1750;cloudy
1760;cloudy
1770;cloudy
1780;cloudy
1790;cloudy
1800;cloudy
1810;cloudy
1820;cloudy
1830;cloudy
1840;cloudy
1850;cloudy
1860;cloudy
1870;cloudy
1880;cloudy
1890;cloudy
1900;cloudy
1910;cloudy
1920;cloudy
1930;cloudy
1940;cloudy
1950;cloudy
1960;cloudy
1970;cloudy
1980;cloudy
1990;cloudy
2000;cloudy
2010;cloudy
2020;cloudy
2030;cloudy
2040;cloudy
2050;cloudy
2060;cloudy
2070;cloudy
2080;cloudy
2090;cloudy
2100;cloudy
2110;cloudy
2120;cloudy
2130;cloudy
2140;cloudy
2150;cloudy
2160;cloudy
2170;cloudy
2180;cloudy
2190;cloudy
2200;cloudy
2210;cloudy
2220;cloudy
2230;cloudy
2240;cloudy
2250;cloudy
2260;cloudy
2270;cloudy
2280;cloudy
2290;cloudy
2300;cloudy
2310;cloudy
2320;cloudy
2330;cloudy
2340;cloudy
2350;cloudy
2360;cloudy
2370;cloudy
2380;cloudy
2390;cloudy
2400;cloudy
2410;cloudy
2420;cloudy
2430;cloudy
2440;cloudy
2450;cloudy
2460;cloudy
2470;cloudy
2480;cloudy
2490;cloudy
2500;cloudy
2510;cloudy
2520;cloudy
2530;cloudy
2540;cloudy
2550;cloudy
2560;cloudy
2570;cloudy
2580;cloudy
2590;cloudy
2600;cloudy
2610;cloudy
2620;cloudy
2630;cloudy
2640;cloudy
2650;cloudy
2660;cloudy
2670;cloudy
2680;cloudy
2690;cloudy
2700;cloudy
2710;cloudy
2720;cloudy
2730;cloudy
2740;cloudy
2750;cloudy
2760;cloudy
2770;cloudy
2780;cloudy
2790;cloudy
2800;cloudy
2810;cloudy
2820;cloudy
2830;cloudy
2840;cloudy
2850;cloudy
2860;cloudy
2870;cloudy
2880;cloudy
2890;cloudy
2900;cloudy
2910;cloudy
2920;cloudy
2930;cloudy
2940;cloudy
2950;cloudy
2960;cloudy
2970;cloudy
2980;cloudy
2990;cloudy
3000;cloudy
3010;cloudy
3020;cloudy
3030;cloudy
3040;cloudy
3050;cloudy
3060;cloudy
3070;cloudy
3080;cloudy
3090;cloudy
3100;cloudy
3110;cloudy
3120;cloudy
3130;cloudy
3140;cloudy
3150;cloudy
3160;cloudy
3170;cloudy
3180;cloudy
3190;cloudy
3200;cloudy
3210;cloudy
3220;cloudy
3230;cloudy
3240;cloudy
3250;cloudy
3260;cloudy
3270;cloudy
3280;cloudy
3290;cloudy
3300;cloudy
3310;cloudy
3320;cloudy
3330;cloudy
3340;cloudy
3350;cloudy
3360;cloudy
3370;cloudy
3380;cloudy
3390;cloudy
3400;cloudy
3410;cloudy
3420;cloudy
3430;cloudy
3440;cloudy
3450;cloudy
3460;cloudy
3470;cloudy
3480;cloudy
3490;cloudy
3500;cloudy
3510;cloudy
3520;cloudy
3530;cloudy
3540;cloudy
3550;cloudy
3560;cloudy
3570;cloudy
3580;cloudy
3590;cloudy
3600;cloudy
3610;cloudy
3620;cloudy
3630;cloudy
3640;cloudy
3650;cloudy
3660;cloudy
3670;cloudy
3680;cloudy
3690;cloudy
3700;cloudy
3710;cloudy
3720;cloudy
3730;cloudy
3740;cloudy
3750;cloudy
3760;cloudy
3770;cloudy
3780;cloudy
3790;cloudy
3800;cloudy
3810;cloudy
3820;cloudy
3830;cloudy
3840;cloudy
3850;cloudy
3860;cloudy
3870;cloudy
3880;cloudy
3890;cloudy
3900;cloudy
3910;cloudy
3920;cloudy
3930;cloudy
3940;cloudy
3950;cloudy
3960;cloudy
3970;cloudy
3980;cloudy
3990;cloudy
4000;cloudy
4010;cloudy
4020;cloudy
4030;cloudy
4040;cloudy
4050;cloudy
4060;cloudy
4070;cloudy
4080;cloudy
4090;cloudy
4100;cloudy
4110;cloudy
4120;cloudy
4130;cloudy
4140;cloudy
4150;cloudy
4160;cloudy
4170;cloudy
4180;cloudy
4190;cloudy
4200;cloudy
4210;cloudy
4220;cloudy
4230;cloudy
4240;cloudy
4250;cloudy
4260;cloudy
4270;cloudy
4280;cloudy
4290;cloudy
4300;cloudy
4310;cloudy
4320;cloudy
4330;cloudy
4340;cloudy
4350;cloudy
4360;cloudy
4370;cloudy
4380;cloudy
4390;cloudy
4400;cloudy
4410;cloudy
4420;cloudy
4430;cloudy
4440;cloudy
4450;cloudy
4460;cloudy
4470;cloudy
4480;cloudy
4490;cloudy
4500;cloudy
4510;cloudy
4520;cloudy
4530;cloudy
4540;cloudy
4550;cloudy
4560;cloudy
4570;cloudy
4580;cloudy
4590;cloudy
4600;cloudy
4610;cloudy
4620;cloudy
4630;cloudy
4640;cloudy
4650;cloudy
4660;cloudy
4670;cloudy
4680;cloudy
4690;cloudy
4700;cloudy
4710;cloudy
4720;cloudy
4730;cloudy
4740;cloudy
4750;cloudy
4760;cloudy
4770;cloudy
4780;cloudy
4790;cloudy
4800;cloudy
4810;cloudy
4820;cloudy
4830;cloudy
4840;cloudy
4850;cloudy
4860;cloudy
4870;cloudy
4880;cloudy
4890;cloudy
4900;cloudy
4910;cloudy
4920;cloudy
4930;cloudy
4940;cloudy
4950;cloudy
4960;cloudy
4970;cloudy
4980;cloudy
4990;cloudy
5000;cloudy
5010;cloudy
5020;cloudy
5030;cloudy
5040;cloudy
5050;cloudy
5060;cloudy
5070;cloudy
5080;cloudy
5090;cloudy
5100;cloudy
5110;cloudy
5120;cloudy
5130;cloudy
5140;cloudy
5150;cloudy
5160;cloudy
5170;cloudy
5180;cloudy
5190;cloudy
5200;cloudy
5210;cloudy
5220;cloudy
5230;cloudy
5240;cloudy
5250;cloudy
5260;cloudy
5270;cloudy
5280;cloudy
5290;cloudy
5300;cloudy
