source,target
0,14270
0,16976
0,12029
0,3001
0,14581
0,14145
0,25564
1,26065
1,2514
1,16675
1,19675
1,34
1,190
1,2211
1,2003
1,11290
1,5011
1,24836
1,18843
1,10646
1,22658
1,6133
1,21695
1,23366
1,20208
1,26238
1,16152
1,24911
1,10314
1,17
1,12734
1,13802
1,19211
1,3153
1,24435
1,1370
1,23544
1,25311
1,11706
1,28238
1,22673
1,3290
1,15292
1,7618
1,8071
1,15355
1,3364
1,22616
1,8884
1,21365
1,19996
1,24213
1,16211
1,9264
1,18934
1,875
1,24342
1,2039
1,16374
1,5789
1,23558
1,26930
1,9051
1,25638
1,23019
1,22630
1,11329
1,21500
1,6163
1,11558
1,3490
1,20689
1,4069
1,951
1,14603
1,14220
1,26277
1,15057
1,22581
2,26177
2,9835
2,14276
2,10082
2,3354
2,18084
2,32
2,808
2,24576
3,3585
3,5607
3,9093
3,5150
3,24280
3,12034
3,3421
3,16049
3,15401
4,1116
4,5252
4,16304
4,10838
4,24023
4,5203
4,14995
4,23757
4,17462
4,6347
4,24122
5,2040
5,19454
5,13709
5,5786
5,2518
5,872
5,4081
5,24370
5,19435
5,1971
5,13491
5,22487
5,11385
5,19171
5,8775
5,14947
5,11958
5,14732
5,11780
5,28065
5,25982
5,23620
5,7224
5,27927
5,9798
5,23684
5,7029
5,8596
5,18753
5,14974
6,935
7,17761
7,5961
7,21431
7,13649
7,22775
7,24884
7,9443
8,10111
8,21633
8,21665
8,6268
8,15515
9,9375
9,2542
9,27562
10,6885
10,23165
10,19601
10,1676
10,18366
10,10619
10,3818
10,26716
10,16702
10,4711
11,25459
12,23475
12,18926
12,26124
12,8766
13,12855
13,19193
13,21577
13,22973
13,7626
13,1379
13,14835
13,1613
13,23372
13,25684
13,14832
14,25844
14,13556
14,5393
14,19287
14,1030
14,16486
15,1197
16,2156
16,2349
16,8113
16,10711
17,19507
17,8426
17,24836
17,8149
17,34
17,871
17,9036
17,432
17,3343
