title,date,article_id,url,main_topic,all_topics,authors,year
OmniMamba: Efficient and Unified Multimodal Understanding and Generation via State Space Models,2025-03-11 17:59:46+00:00,0,http://arxiv.org/pdf/2503.08686v1,cs.CV,['cs.CV'],"[arxiv.Result.Author('Jialv Zou'), arxiv.Result.Author('Bencheng Liao'), arxiv.Result.Author('Qian Zhang'), arxiv.Result.Author('Wenyu Liu'), arxiv.Result.Author('Xinggang Wang')]",2025
Two key factors to superconductivity of Ruddlesden-Popper nickelates: enhanced quasi-particle weight and strong local spin fluctuation,2025-03-11 17:58:35+00:00,1,http://arxiv.org/pdf/2503.08682v1,cond-mat.supr-con,"['cond-mat.supr-con', 'cond-mat.str-el']","[arxiv.Result.Author('Zhenfeng Ouyang'), arxiv.Result.Author('Rong-Qiang He'), arxiv.Result.Author('Zhong-Yi Lu')]",2025
Language-Depth Navigated Thermal and Visible Image Fusion,2025-03-11 17:55:22+00:00,2,http://arxiv.org/pdf/2503.08676v1,cs.CV,['cs.CV'],"[arxiv.Result.Author('Jinchang Zhang'), arxiv.Result.Author('Zijun Li'), arxiv.Result.Author('Guoyu Lu')]",2025
Cosmic topology. Part IIIb. Eigenmodes and correlation matrices of spin-2 perturbations in orientable Euclidean manifolds,2025-03-11 17:53:42+00:00,3,http://arxiv.org/pdf/2503.08671v1,astro-ph.CO,"['astro-ph.CO', 'gr-qc', 'hep-ph', 'hep-th']","[arxiv.Result.Author('Amirhossein Samandar'), arxiv.Result.Author('Javier Carrón Duque'), arxiv.Result.Author('Craig J. Copi'), arxiv.Result.Author('Mikel Martin Barandiaran'), arxiv.Result.Author('Deyan P. Mihaylov'), arxiv.Result.Author('Glenn D. Starkman'), arxiv.Result.Author('Yashar Akrami'), arxiv.Result.Author('Stefano Anselmi'), arxiv.Result.Author('Fernando Cornet-Gomez'), arxiv.Result.Author('Johannes R. Eskilt'), arxiv.Result.Author('Andrew H. Jaffe'), arxiv.Result.Author('Arthur Kosowsky'), arxiv.Result.Author('Anna Negro'), arxiv.Result.Author('Joline Noltmann'), arxiv.Result.Author('Thiago S. Pereira'), arxiv.Result.Author('Andrius Tamosiunas')]",2025
REGEN: Learning Compact Video Embedding with (Re-)Generative Decoder,2025-03-11 17:51:07+00:00,4,http://arxiv.org/pdf/2503.08665v1,cs.CV,"['cs.CV', 'cs.AI', 'cs.LG']","[arxiv.Result.Author('Yitian Zhang'), arxiv.Result.Author('Long Mai'), arxiv.Result.Author('Aniruddha Mahapatra'), arxiv.Result.Author('David Bourgin'), arxiv.Result.Author('Yicong Hong'), arxiv.Result.Author('Jonah Casebeer'), arxiv.Result.Author('Feng Liu'), arxiv.Result.Author('Yun Fu')]",2025
Generating Robot Constitutions & Benchmarks for Semantic Safety,2025-03-11 17:50:47+00:00,5,http://arxiv.org/pdf/2503.08663v1,cs.RO,"['cs.RO', 'cs.AI', 'cs.CV', 'cs.CY', 'cs.HC']","[arxiv.Result.Author('Pierre Sermanet'), arxiv.Result.Author('Anirudha Majumdar'), arxiv.Result.Author('Alex Irpan'), arxiv.Result.Author('Dmitry Kalashnikov'), arxiv.Result.Author('Vikas Sindhwani')]",2025
MF-VITON: High-Fidelity Mask-Free Virtual Try-On with Minimal Input,2025-03-11 17:40:59+00:00,6,http://arxiv.org/pdf/2503.08650v1,cs.CV,['cs.CV'],"[arxiv.Result.Author('Zhenchen Wan'), arxiv.Result.Author('Yanwu xu'), arxiv.Result.Author('Dongting Hu'), arxiv.Result.Author('Weilun Cheng'), arxiv.Result.Author('Tianxi Chen'), arxiv.Result.Author('Zhaoqing Wang'), arxiv.Result.Author('Feng Liu'), arxiv.Result.Author('Tongliang Liu'), arxiv.Result.Author('Mingming Gong')]",2025
Tensor networks for quantum computing,2025-03-11 17:10:41+00:00,7,http://arxiv.org/pdf/2503.08626v1,quant-ph,['quant-ph'],"[arxiv.Result.Author('Aleksandr Berezutskii'), arxiv.Result.Author('Atithi Acharya'), arxiv.Result.Author('Roman Ellerbrock'), arxiv.Result.Author('Johnnie Gray'), arxiv.Result.Author('Reza Haghshenas'), arxiv.Result.Author('Zichang He'), arxiv.Result.Author('Abid Khan'), arxiv.Result.Author('Viacheslav Kuzmin'), arxiv.Result.Author('Minzhao Liu'), arxiv.Result.Author('Dmitry Lyakh'), arxiv.Result.Author('Danylo Lykov'), arxiv.Result.Author('Salvatore Mandrà'), arxiv.Result.Author('Christopher Mansell'), arxiv.Result.Author('Alexey Melnikov'), arxiv.Result.Author('Artem Melnikov'), arxiv.Result.Author('Vladimir Mironov'), arxiv.Result.Author('Dmitry Morozov'), arxiv.Result.Author('Florian Neukart'), arxiv.Result.Author('Alberto Nocera'), arxiv.Result.Author('Michael A. Perlin'), arxiv.Result.Author('Michael Perelshtein'), arxiv.Result.Author('Ruslan Shaydulin'), arxiv.Result.Author('Benjamin Villalonga'), arxiv.Result.Author('Markus Pflitsch'), arxiv.Result.Author('Marco Pistoia'), arxiv.Result.Author('Valerii Vinokur'), arxiv.Result.Author('Yuri Alexeev')]",2025
SegAgent: Exploring Pixel Understanding Capabilities in MLLMs by Imitating Human Annotator Trajectories,2025-03-11 17:08:54+00:00,8,http://arxiv.org/pdf/2503.08625v1,cs.CV,['cs.CV'],"[arxiv.Result.Author('Muzhi Zhu'), arxiv.Result.Author('Yuzhuo Tian'), arxiv.Result.Author('Hao Chen'), arxiv.Result.Author('Chunluan Zhou'), arxiv.Result.Author('Qingpei Guo'), arxiv.Result.Author('Yang Liu'), arxiv.Result.Author('Ming Yang'), arxiv.Result.Author('Chunhua Shen')]",2025
LightGen: Efficient Image Generation through Knowledge Distillation and Direct Preference Optimization,2025-03-11 16:58:02+00:00,9,http://arxiv.org/pdf/2503.08619v1,cs.CV,['cs.CV'],"[arxiv.Result.Author('Xianfeng Wu'), arxiv.Result.Author('Yajing Bai'), arxiv.Result.Author('Haoze Zheng'), arxiv.Result.Author('Harold Haodong Chen'), arxiv.Result.Author('Yexin Liu'), arxiv.Result.Author('Zihao Wang'), arxiv.Result.Author('Xuran Ma'), arxiv.Result.Author('Wen-Jie Shu'), arxiv.Result.Author('Xianzu Wu'), arxiv.Result.Author('Harry Yang'), arxiv.Result.Author('Ser-Nam Lim')]",2025
