title,date,article_id,url,main_topic,all_topics,authors,year
Sonata: Self-Supervised Learning of Reliable Point Representations,2025-03-20 17:59:59+00:00,0,http://arxiv.org/pdf/2503.16429v1,cs.CV,['cs.CV'],"[arxiv.Result.Author('Xiaoyang Wu'), arxiv.Result.Author('Daniel DeTone'), arxiv.Result.Author('Duncan Frost'), arxiv.Result.Author('Tianwei Shen'), arxiv.Result.Author('Chris Xie'), arxiv.Result.Author('Nan Yang'), arxiv.Result.Author('Jakob Engel'), arxiv.Result.Author('Richard Newcombe'), arxiv.Result.Author('Hengshuang Zhao'), arxiv.Result.Author('Julian Straub')]",2025
Stop Overthinking: A Survey on Efficient Reasoning for Large Language Models,2025-03-20 17:59:38+00:00,1,http://arxiv.org/pdf/2503.16419v1,cs.CL,['cs.CL'],"[arxiv.Result.Author('Yang Sui'), arxiv.Result.Author('Yu-Neng Chuang'), arxiv.Result.Author('Guanchu Wang'), arxiv.Result.Author('Jiamu Zhang'), arxiv.Result.Author('Tianyi Zhang'), arxiv.Result.Author('Jiayi Yuan'), arxiv.Result.Author('Hongyi Liu'), arxiv.Result.Author('Andrew Wen'), arxiv.Result.Author('Shaochen'), arxiv.Result.Author('Zhong'), arxiv.Result.Author('Hanjie Chen'), arxiv.Result.Author('Xia Hu')]",2025
InfiniteYou: Flexible Photo Recrafting While Preserving Your Identity,2025-03-20 17:59:34+00:00,2,http://arxiv.org/pdf/2503.16418v1,cs.CV,"['cs.CV', 'cs.LG']","[arxiv.Result.Author('Liming Jiang'), arxiv.Result.Author('Qing Yan'), arxiv.Result.Author('Yumin Jia'), arxiv.Result.Author('Zichuan Liu'), arxiv.Result.Author('Hao Kang'), arxiv.Result.Author('Xin Lu')]",2025
Parallel Domain-Decomposition Algorithms for Complexity Certification of Branch-and-Bound Algorithms for Mixed-Integer Linear and Quadratic Programming,2025-03-20 17:59:06+00:00,3,http://arxiv.org/pdf/2503.16411v1,eess.SY,"['eess.SY', 'cs.SY']","[arxiv.Result.Author('Shamisa Shoja'), arxiv.Result.Author('Daniel Arnström'), arxiv.Result.Author('Daniel Axehill')]",2025
RoboFactory: Exploring Embodied Agent Collaboration with Compositional Constraints,2025-03-20 17:58:38+00:00,4,http://arxiv.org/pdf/2503.16408v1,cs.RO,"['cs.RO', 'cs.AI', 'cs.CV', 'cs.LG']","[arxiv.Result.Author('Yiran Qin'), arxiv.Result.Author('Li Kang'), arxiv.Result.Author('Xiufeng Song'), arxiv.Result.Author('Zhenfei Yin'), arxiv.Result.Author('Xiaohong Liu'), arxiv.Result.Author('Xihui Liu'), arxiv.Result.Author('Ruimao Zhang'), arxiv.Result.Author('Lei Bai')]",2025
The Emperor's New Clothes in Benchmarking? A Rigorous Examination of Mitigation Strategies for LLM Benchmark Data Contamination,2025-03-20 17:55:04+00:00,5,http://arxiv.org/pdf/2503.16402v1,cs.AI,"['cs.AI', 'cs.CL', 'cs.LG']","[arxiv.Result.Author('Yifan Sun'), arxiv.Result.Author('Han Wang'), arxiv.Result.Author('Dongbai Li'), arxiv.Result.Author('Gang Wang'), arxiv.Result.Author('Huan Zhang')]",2025
Exploring the Hidden Reasoning Process of Large Language Models by Misleading Them,2025-03-20 17:54:42+00:00,6,http://arxiv.org/pdf/2503.16401v1,cs.LG,['cs.LG'],"[arxiv.Result.Author('Guanyu Chen'), arxiv.Result.Author('Peiyang Wang'), arxiv.Result.Author('Tianren Zhang'), arxiv.Result.Author('Feng Chen')]",2025
ScalingNoise: Scaling Inference-Time Search for Generating Infinite Videos,2025-03-20 17:54:37+00:00,7,http://arxiv.org/pdf/2503.16400v1,cs.LG,['cs.LG'],"[arxiv.Result.Author('Haolin Yang'), arxiv.Result.Author('Feilong Tang'), arxiv.Result.Author('Ming Hu'), arxiv.Result.Author('Yulong Li'), arxiv.Result.Author('Junjie Guo'), arxiv.Result.Author('Yexin Liu'), arxiv.Result.Author('Zelin Peng'), arxiv.Result.Author('Junjun He'), arxiv.Result.Author('Zongyuan Ge'), arxiv.Result.Author('Imran Razzak')]",2025
SA-Occ: Satellite-Assisted 3D Occupancy Prediction in Real World,2025-03-20 17:54:29+00:00,8,http://arxiv.org/pdf/2503.16399v1,cs.CV,"['cs.CV', 'cs.AI']","[arxiv.Result.Author('Chen Chen'), arxiv.Result.Author('Zhirui Wang'), arxiv.Result.Author('Taowei Sheng'), arxiv.Result.Author('Yi Jiang'), arxiv.Result.Author('Yundu Li'), arxiv.Result.Author('Peirui Cheng'), arxiv.Result.Author('Luning Zhang'), arxiv.Result.Author('Kaiqiang Chen'), arxiv.Result.Author('Yanfeng Hu'), arxiv.Result.Author('Xue Yang'), arxiv.Result.Author('Xian Sun')]",2025
Scale-wise Distillation of Diffusion Models,2025-03-20 17:54:02+00:00,9,http://arxiv.org/pdf/2503.16397v1,cs.CV,['cs.CV'],"[arxiv.Result.Author('Nikita Starodubcev'), arxiv.Result.Author('Denis Kuznedelev'), arxiv.Result.Author('Artem Babenko'), arxiv.Result.Author('Dmitry Baranchuk')]",2025
