title,date,article_id,url,main_topic,all_topics,authors,year
V2Edit: Versatile Video Diffusion Editor for Videos and 3D Scenes,2025-03-13 17:59:55+00:00,0,http://arxiv.org/pdf/2503.10634v1,cs.CV,['cs.CV'],"[arxiv.Result.Author('Yanming Zhang'), arxiv.Result.Author('Jun-Kun Chen'), arxiv.Result.Author('Jipeng Lyu'), arxiv.Result.Author('Yu-Xiong Wang')]",2025
NIL: No-data Imitation Learning by Leveraging Pre-trained Video Diffusion Models,2025-03-13 17:59:24+00:00,1,http://arxiv.org/pdf/2503.10626v1,cs.CV,"['cs.CV', 'cs.AI', 'cs.LG', 'cs.RO']","[arxiv.Result.Author('Mert Albaba'), arxiv.Result.Author('Chenhao Li'), arxiv.Result.Author('Markos Diomataris'), arxiv.Result.Author('Omid Taheri'), arxiv.Result.Author('Andreas Krause'), arxiv.Result.Author('Michael Black')]",2025
LHM: Large Animatable Human Reconstruction Model from a Single Image in Seconds,2025-03-13 17:59:21+00:00,2,http://arxiv.org/pdf/2503.10625v1,cs.CV,"['cs.CV', 'cs.AI']","[arxiv.Result.Author('Lingteng Qiu'), arxiv.Result.Author('Xiaodong Gu'), arxiv.Result.Author('Peihao Li'), arxiv.Result.Author('Qi Zuo'), arxiv.Result.Author('Weichao Shen'), arxiv.Result.Author('Junfei Zhang'), arxiv.Result.Author('Kejie Qiu'), arxiv.Result.Author('Weihao Yuan'), arxiv.Result.Author('Guanying Chen'), arxiv.Result.Author('Zilong Dong'), arxiv.Result.Author('Liefeng Bo')]",2025
MuDG: Taming Multi-modal Diffusion with Gaussian Splatting for Urban Scene Reconstruction,2025-03-13 17:48:41+00:00,3,http://arxiv.org/pdf/2503.10604v1,cs.CV,['cs.CV'],"[arxiv.Result.Author('Yingshuang Zou'), arxiv.Result.Author('Yikang Ding'), arxiv.Result.Author('Chuanrui Zhang'), arxiv.Result.Author('Jiazhe Guo'), arxiv.Result.Author('Bohan Li'), arxiv.Result.Author('Xiaoyang Lyu'), arxiv.Result.Author('Feiyang Tan'), arxiv.Result.Author('Xiaojuan Qi'), arxiv.Result.Author('Haoqian Wang')]",2025
CameraCtrl II: Dynamic Scene Exploration via Camera-controlled Video Diffusion Models,2025-03-13 17:42:01+00:00,4,http://arxiv.org/pdf/2503.10592v1,cs.CV,['cs.CV'],"[arxiv.Result.Author('Hao He'), arxiv.Result.Author('Ceyuan Yang'), arxiv.Result.Author('Shanchuan Lin'), arxiv.Result.Author('Yinghao Xu'), arxiv.Result.Author('Meng Wei'), arxiv.Result.Author('Liangke Gui'), arxiv.Result.Author('Qi Zhao'), arxiv.Result.Author('Gordon Wetzstein'), arxiv.Result.Author('Lu Jiang'), arxiv.Result.Author('Hongsheng Li')]",2025
Long Context Tuning for Video Generation,2025-03-13 17:40:07+00:00,5,http://arxiv.org/pdf/2503.10589v1,cs.CV,['cs.CV'],"[arxiv.Result.Author('Yuwei Guo'), arxiv.Result.Author('Ceyuan Yang'), arxiv.Result.Author('Ziyan Yang'), arxiv.Result.Author('Zhibei Ma'), arxiv.Result.Author('Zhijie Lin'), arxiv.Result.Author('Zhenheng Yang'), arxiv.Result.Author('Dahua Lin'), arxiv.Result.Author('Lu Jiang')]",2025
Lightweight Models for Emotional Analysis in Video,2025-03-13 16:38:33+00:00,6,http://arxiv.org/pdf/2503.10530v1,cs.CV,"['cs.CV', 'cs.AI']","[arxiv.Result.Author('Quoc-Tien Nguyen'), arxiv.Result.Author('Hong-Hai Nguyen'), arxiv.Result.Author('Van-Thong Huynh')]",2025
How Should We Evaluate Uncertainty in Accelerated MRI Reconstruction?,2025-03-13 16:34:22+00:00,7,http://arxiv.org/pdf/2503.10527v1,eess.IV,"['eess.IV', 'cs.CV', 'physics.med-ph']","[arxiv.Result.Author('Luca Trautmann'), arxiv.Result.Author('Peter Wijeratne'), arxiv.Result.Author('Itamar Ronen'), arxiv.Result.Author('Ivor Simpson')]",2025
AudioX: Diffusion Transformer for Anything-to-Audio Generation,2025-03-13 16:30:59+00:00,8,http://arxiv.org/pdf/2503.10522v1,cs.MM,"['cs.MM', 'cs.CV', 'cs.LG', 'cs.SD', 'eess.AS']","[arxiv.Result.Author('Zeyue Tian'), arxiv.Result.Author('Yizhu Jin'), arxiv.Result.Author('Zhaoyang Liu'), arxiv.Result.Author('Ruibin Yuan'), arxiv.Result.Author('Xu Tan'), arxiv.Result.Author('Qifeng Chen'), arxiv.Result.Author('Wei Xue'), arxiv.Result.Author('Yike Guo')]",2025
SySLLM: Generating Synthesized Policy Summaries for Reinforcement Learning Agents Using Large Language Models,2025-03-13 16:10:14+00:00,9,http://arxiv.org/pdf/2503.10509v1,cs.LG,['cs.LG'],"[arxiv.Result.Author('Sahar Admoni'), arxiv.Result.Author('Omer Ben-Porat'), arxiv.Result.Author('Ofra Amir')]",2025
OmniSTVG: Toward Spatio-Temporal Omni-Object Video Grounding,2025-03-13 16:02:30+00:00,10,http://arxiv.org/pdf/2503.10500v1,cs.CV,['cs.CV'],"[arxiv.Result.Author('Jiali Yao'), arxiv.Result.Author('Xinran Deng'), arxiv.Result.Author('Xin Gu'), arxiv.Result.Author('Mengrui Dai'), arxiv.Result.Author('Bing Fan'), arxiv.Result.Author('Zhipeng Zhang'), arxiv.Result.Author('Yan Huang'), arxiv.Result.Author('Heng Fan'), arxiv.Result.Author('Libo Zhang')]",2025
4D LangSplat: 4D Language Gaussian Splatting via Multimodal Large Language Models,2025-03-13 14:58:22+00:00,11,http://arxiv.org/pdf/2503.10437v1,cs.CV,['cs.CV'],"[arxiv.Result.Author('Wanhua Li'), arxiv.Result.Author('Renping Zhou'), arxiv.Result.Author('Jiawei Zhou'), arxiv.Result.Author('Yingwei Song'), arxiv.Result.Author('Johannes Herter'), arxiv.Result.Author('Minghan Qin'), arxiv.Result.Author('Gao Huang'), arxiv.Result.Author('Hanspeter Pfister')]",2025
Low Complexity Point Tracking of the Myocardium in 2D Echocardiography,2025-03-13 14:53:00+00:00,12,http://arxiv.org/pdf/2503.10431v1,eess.IV,"['eess.IV', 'cs.CV']","[arxiv.Result.Author('Artem Chernyshov'), arxiv.Result.Author('John Nyberg'), arxiv.Result.Author('Vegard Holmstrøm'), arxiv.Result.Author('Md Abulkalam Azad'), arxiv.Result.Author('Bjørnar Grenne'), arxiv.Result.Author('Håvard Dalen'), arxiv.Result.Author('Svein Arne Aase'), arxiv.Result.Author('Lasse Lovstakken'), arxiv.Result.Author('Andreas Østvik')]",2025
RealGeneral: Unifying Visual Generation via Temporal In-Context Learning with Video Models,2025-03-13 14:31:52+00:00,13,http://arxiv.org/pdf/2503.10406v1,cs.CV,"['cs.CV', 'cs.AI']","[arxiv.Result.Author('Yijing Lin'), arxiv.Result.Author('Mengqi Huang'), arxiv.Result.Author('Shuhan Zhuang'), arxiv.Result.Author('Zhendong Mao')]",2025
"HSEmotion Team at ABAW-8 Competition: Audiovisual Ambivalence/Hesitancy, Emotional Mimicry Intensity and Facial Expression Recognition",2025-03-13 14:21:46+00:00,14,http://arxiv.org/pdf/2503.10399v1,cs.CV,"['cs.CV', '68T10', 'I.4.9']",[arxiv.Result.Author('Andrey V. Savchenko')],2025
CINEMA: Coherent Multi-Subject Video Generation via MLLM-Based Guidance,2025-03-13 14:07:58+00:00,15,http://arxiv.org/pdf/2503.10391v1,cs.CV,"['cs.CV', 'cs.AI']","[arxiv.Result.Author('Yufan Deng'), arxiv.Result.Author('Xun Guo'), arxiv.Result.Author('Yizhi Wang'), arxiv.Result.Author('Jacob Zhiyuan Fang'), arxiv.Result.Author('Angtian Wang'), arxiv.Result.Author('Shenghai Yuan'), arxiv.Result.Author('Yiding Yang'), arxiv.Result.Author('Bo Liu'), arxiv.Result.Author('Haibin Huang'), arxiv.Result.Author('Chongyang Ma')]",2025
A Multimodal Fusion Model Leveraging MLP Mixer and Handcrafted Features-based Deep Learning Networks for Facial Palsy Detection,2025-03-13 13:48:35+00:00,16,http://arxiv.org/pdf/2503.10371v1,cs.CV,"['cs.CV', 'cs.AI', 'cs.LG']","[arxiv.Result.Author('Heng Yim Nicole Oo'), arxiv.Result.Author('Min Hun Lee'), arxiv.Result.Author('Jeong Hoon Lim')]",2025
LUMOS: Language-Conditioned Imitation Learning with World Models,2025-03-13 13:48:24+00:00,17,http://arxiv.org/pdf/2503.10370v1,cs.RO,"['cs.RO', 'cs.CV', 'cs.LG']","[arxiv.Result.Author('Iman Nematollahi'), arxiv.Result.Author('Branton DeMoss'), arxiv.Result.Author('Akshay L Chandra'), arxiv.Result.Author('Nick Hawes'), arxiv.Result.Author('Wolfram Burgard'), arxiv.Result.Author('Ingmar Posner')]",2025
A Hybrid Architecture with Efficient Fine Tuning for Abstractive Patent Document Summarization,2025-03-13 13:30:54+00:00,18,http://arxiv.org/pdf/2503.10354v1,cs.CL,['cs.CL'],"[arxiv.Result.Author('Nevidu Jayatilleke'), arxiv.Result.Author('Ruvan Weerasinghe')]",2025
DreamInsert: Zero-Shot Image-to-Video Object Insertion from A Single Image,2025-03-13 13:20:54+00:00,19,http://arxiv.org/pdf/2503.10342v1,cs.CV,['cs.CV'],"[arxiv.Result.Author('Qi Zhao'), arxiv.Result.Author('Zhan Ma'), arxiv.Result.Author('Pan Zhou')]",2025
KV-Distill: Nearly Lossless Learnable Context Compression for LLMs,2025-03-13 13:15:28+00:00,20,http://arxiv.org/pdf/2503.10337v1,cs.CL,"['cs.CL', 'cs.AI']","[arxiv.Result.Author('Vivek Chari'), arxiv.Result.Author('Guanghui Qin'), arxiv.Result.Author('Benjamin Van Durme')]",2025
PS3C: An Ensemble-Based Two-Step Framework for Classification of Pep Smear Cell Images,2025-03-13 12:46:23+00:00,21,http://arxiv.org/pdf/2503.10312v1,eess.IV,"['eess.IV', 'cs.CV']","[arxiv.Result.Author('Theo Di Piazza'), arxiv.Result.Author('Loic Boussel')]",2025
6D Object Pose Tracking in Internet Videos for Robotic Manipulation,2025-03-13 12:33:34+00:00,22,http://arxiv.org/pdf/2503.10307v1,cs.CV,"['cs.CV', 'cs.RO']","[arxiv.Result.Author('Georgy Ponimatkin'), arxiv.Result.Author('Martin Cífka'), arxiv.Result.Author('Tomáš Souček'), arxiv.Result.Author('Médéric Fourmy'), arxiv.Result.Author('Yann Labbé'), arxiv.Result.Author('Vladimir Petrik'), arxiv.Result.Author('Josef Sivic')]",2025
Eye on the Target: Eye Tracking Meets Rodent Tracking,2025-03-13 12:27:42+00:00,23,http://arxiv.org/pdf/2503.10305v1,cs.CV,['cs.CV'],"[arxiv.Result.Author('Emil Mededovic'), arxiv.Result.Author('Yuli Wu'), arxiv.Result.Author('Henning Konermann'), arxiv.Result.Author('Marcin Kopaczka'), arxiv.Result.Author('Mareike Schulz'), arxiv.Result.Author('Rene Tolba'), arxiv.Result.Author('Johannes Stegmaier')]",2025
VicaSplat: A Single Run is All You Need for 3D Gaussian Splatting and Camera Estimation from Unposed Video Frames,2025-03-13 11:56:05+00:00,24,http://arxiv.org/pdf/2503.10286v1,cs.CV,['cs.CV'],"[arxiv.Result.Author('Zhiqi Li'), arxiv.Result.Author('Chengrui Dong'), arxiv.Result.Author('Yiming Chen'), arxiv.Result.Author('Zhangchi Huang'), arxiv.Result.Author('Peidong Liu')]",2025
Markerless Tracking-Based Registration for Medical Image Motion Correction,2025-03-13 11:18:50+00:00,25,http://arxiv.org/pdf/2503.10260v1,eess.IV,"['eess.IV', 'cs.CV']","[arxiv.Result.Author('Luisa Neubig'), arxiv.Result.Author('Deirdre Larsen'), arxiv.Result.Author('Takeshi Ikuma'), arxiv.Result.Author('Markus Kopp'), arxiv.Result.Author('Melda Kunduk'), arxiv.Result.Author('Andreas M. Kist')]",2025
KVQ: Boosting Video Quality Assessment via Saliency-guided Local Perception,2025-03-13 11:16:58+00:00,26,http://arxiv.org/pdf/2503.10259v1,cs.CV,['cs.CV'],"[arxiv.Result.Author('Yunpeng Qu'), arxiv.Result.Author('Kun Yuan'), arxiv.Result.Author('Qizhi Xie'), arxiv.Result.Author('Ming Sun'), arxiv.Result.Author('Chao Zhou'), arxiv.Result.Author('Jian Wang')]",2025
ARLED: Leveraging LED-based ARMAN Model for Abstractive Summarization of Persian Long Documents,2025-03-13 10:16:46+00:00,27,http://arxiv.org/pdf/2503.10233v1,cs.CL,['cs.CL'],"[arxiv.Result.Author('Samira Zangooei'), arxiv.Result.Author('Amirhossein Darmani'), arxiv.Result.Author('Hossein Farahmand Nezhad'), arxiv.Result.Author('Laya Mahmoudi')]",2025
LVAgent: Long Video Understanding by Multi-Round Dynamical Collaboration of MLLM Agents,2025-03-13 09:35:09+00:00,28,http://arxiv.org/pdf/2503.10200v1,cs.CV,['cs.CV'],"[arxiv.Result.Author('Boyu Chen'), arxiv.Result.Author('Zhengrong Yue'), arxiv.Result.Author('Siran Chen'), arxiv.Result.Author('Zikang Wang'), arxiv.Result.Author('Yang Liu'), arxiv.Result.Author('Peng Li'), arxiv.Result.Author('Yali Wang')]",2025
